,WaterwayCode,WaterwayName,In/Out/Thru,CompletedYear,Trips
133,3738,"Indiana Harbor, IN",Outbound Shipping,2017,179
134,3738,"Indiana Harbor, IN",Outbound Shipping,2018,159
135,3738,"Indiana Harbor, IN",Outbound Shipping,2019,182
136,3738,"Indiana Harbor, IN",Outbound Shipping,2020,132
137,3738,"Indiana Harbor, IN",Outbound Shipping,2021,135
138,3738,"Indiana Harbor, IN",Outbound Shipping,2022,123
139,3738,"Indiana Harbor, IN",Outbound Shipping,2023,137
140,3739,"Burns Waterway Harbor, IN",Inbound Receiving,2014,155
141,3739,"Burns Waterway Harbor, IN",Inbound Receiving,2015,130
142,3739,"Burns Waterway Harbor, IN",Inbound Receiving,2016,119
143,3739,"Burns Waterway Harbor, IN",Inbound Receiving,2017,139
144,3739,"Burns Waterway Harbor, IN",Inbound Receiving,2018,137
145,3739,"Burns Waterway Harbor, IN",Inbound Receiving,2019,146
146,3739,"Burns Waterway Harbor, IN",Inbound Receiving,2020,107
147,3739,"Burns Waterway Harbor, IN",Inbound Receiving,2021,172
148,3739,"Burns Waterway Harbor, IN",Inbound Receiving,2022,131
149,3739,"Burns Waterway Harbor, IN",Inbound Receiving,2023,169
150,3739,"Burns Waterway Harbor, IN",Outbound Shipping,2014,143
151,3739,"Burns Waterway Harbor, IN",Outbound Shipping,2015,118
152,3739,"Burns Waterway Harbor, IN",Outbound Shipping,2016,109
153,3739,"Burns Waterway Harbor, IN",Outbound Shipping,2017,124
154,3739,"Burns Waterway Harbor, IN",Outbound Shipping,2018,122
155,3739,"Burns Waterway Harbor, IN",Outbound Shipping,2019,130
156,3739,"Burns Waterway Harbor, IN",Outbound Shipping,2020,94
157,3739,"Burns Waterway Harbor, IN",Outbound Shipping,2021,118
158,3739,"Burns Waterway Harbor, IN",Outbound Shipping,2022,85
159,3739,"Burns Waterway Harbor, IN",Outbound Shipping,2023,119
