MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366972020,2021-07-23T01:28:12,46.7243,-92.15785,0.0,300.2,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:38:41,46.72429,-92.15782,0.0,55.2,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:31:41,46.7243,-92.15784,0.0,117.0,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:35:12,46.72429,-92.15784,0.0,226.9,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:42:11,46.7243,-92.15784,0.0,330.8,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:36:22,46.72429,-92.15785,0.0,189.7,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:32:51,46.72429,-92.15784,0.0,12.7,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:41:01,46.7243,-92.15784,0.0,46.7,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:34:02,46.7243,-92.15785,0.0,244.9,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:39:51,46.72429,-92.15784,0.0,245.3,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:51:20,46.7243,-92.15784,0.0,104.8,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:29:22,46.7243,-92.15786,0.0,251.2,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:43:12,46.72427,-92.15784,0.0,231.9,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:45:32,46.72428,-92.15782,0.0,69.2,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:50:12,46.7243,-92.15783,0.0,29.9,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T00:37:12,46.72428,-92.15783,0.0,34.0,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T00:38:21,46.72429,-92.15783,0.0,190.8,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:55:52,46.72429,-92.15784,0.0,205.2,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:52:32,46.7243,-92.15783,0.0,230.6,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:37:31,46.72429,-92.15783,0.0,230.3,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T00:40:40,46.7243,-92.15783,0.0,219.3,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:54:51,46.7243,-92.15784,0.0,66.9,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:46:40,46.7243,-92.15782,0.0,295.8,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:47:51,46.7243,-92.15783,0.0,216.7,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:49:02,46.7243,-92.15784,0.0,236.1,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T00:50:01,46.72429,-92.15781,0.0,353.1,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:01:11,46.7243,-92.15783,0.0,318.4,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T00:51:11,46.72429,-92.15782,0.0,37.0,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:02:20,46.72431,-92.15783,0.0,255.1,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:04:42,46.7243,-92.15782,0.0,228.2,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:53:41,46.72429,-92.15783,0.0,199.1,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:09:12,46.7243,-92.15784,0.0,337.8,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:17:22,46.7243,-92.15783,0.0,292.5,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:12:51,46.72431,-92.15783,0.0,343.9,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:07:01,46.72429,-92.15784,0.0,243.5,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:58:11,46.72429,-92.15782,0.0,30.2,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:18:32,46.7243,-92.15784,0.0,324.8,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:03:31,46.7243,-92.15782,0.0,39.7,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:05:51,46.72429,-92.15783,0.0,165.9,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:30:11,46.72423,-92.15782,0.2,141.0,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:33:41,46.72364,-92.15717,1.2,143.3,318.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:08:11,46.7243,-92.15783,0.0,24.4,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:25:32,46.72429,-92.15784,0.0,9.1,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:26:41,46.72429,-92.15783,0.0,163.1,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:24:21,46.7243,-92.15784,0.0,113.4,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:10:22,46.7243,-92.15784,0.0,46.0,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:23:12,46.72431,-92.15785,0.0,330.0,316.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:27:51,46.72427,-92.15785,0.1,221.0,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:29:01,46.72426,-92.15786,0.0,79.3,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:15:02,46.7243,-92.15784,0.0,10.4,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:38:11,46.72268,-92.15583,0.9,132.4,323.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:20:50,46.7243,-92.15783,0.0,265.4,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:22:01,46.72429,-92.15784,0.0,307.3,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:39:21,46.72246,-92.15549,1.0,135.0,325.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:31:20,46.72412,-92.1577,0.5,148.3,316.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:46:21,46.72109,-92.15371,0.7,146.0,358.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:44:00,46.72145,-92.15414,0.8,143.2,344.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:48:32,46.72061,-92.15335,0.9,164.0,16.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:47:23,46.72089,-92.15352,0.9,144.2,8.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:51:01,46.71992,-92.15315,1.1,165.8,31.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:53:07,46.71925,-92.15284,1.0,154.2,55.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:34:51,46.72333,-92.15684,1.0,137.0,318.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:36:01,46.72311,-92.15647,1.0,132.6,320.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:54:11,46.71904,-92.15257,0.9,126.2,66.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:04:21,46.72151,-92.14449,2.5,31.8,34.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:40:31,46.72221,-92.15515,1.0,136.8,328.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:45:11,46.72127,-92.15393,0.6,138.4,350.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:57:42,46.71905,-92.15028,2.4,81.8,76.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:03:11,46.72085,-92.14517,2.5,39.1,41.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:05:32,46.72225,-92.14392,2.5,25.0,28.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:49:42,46.72031,-92.15327,0.9,169.7,23.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:41:42,46.72196,-92.15479,1.0,136.9,332.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:52:04,46.71956,-92.15301,1.2,164.2,42.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:09:01,46.72469,-92.14328,2.5,3.6,4.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:06:42,46.72304,-92.1435,2.5,15.6,21.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:55:22,46.71894,-92.15206,1.3,97.2,75.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:19:31,46.73255,-92.14346,2.7,359.9,2.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:10:42,46.72429,-92.15783,0.0,217.2,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:00:01,46.71945,-92.1478,2.7,69.0,71.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:22:51,46.73489,-92.14275,2.4,26.4,24.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:24:01,46.73555,-92.14214,2.4,37.5,33.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:20:41,46.73343,-92.14343,2.7,4.4,5.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
